CustomerID,Name,Gender,Age,Address,Email,Annual Income (k$),Spending Score (1-100)
57,Tran Van Nam,Male,36,Thanh Hoa,namtran@email.com,80,2
58,Nguyen Thi Huong,Female,29,Ho Chi Minh City,huongnguyen@email.com,85,
59,Tran Van Huy,Male,,Hai Phong,huynguyen@email.com,90,47
60,Le Thi Thuy Trang,Female,31,Bac Ninh,trangle@email.com,95,13
61,Vo Minh Quan,Male,66,Da Nang,minhquanvo@email.com,25,83
62,Nguyen Thi Thanh Van,Female,34,Can Tho,vanthanhnguyen@email.com,30,17
63,Tran Van Binh,Male,-45,Ho Chi Minh City,binhtran@email.com,35,92
64,Le Thi Mai Anh,Female,47,Hai Phong,anhle@email.com,40,59
65,Nguyen Van Huy,Male,54,Ha Noi,huynguyen@email.com,45,21
66,Tran Thi Ngoc Mai,Female,59,Quang Nam,ngocmaitran@email.com,50,66
67,Le Van Khoa,Male,28,Ho Chi Minh City,khoale@email.com,55,24
68,Nguyen Thi Thuy Duong,Female,73,Hai Duong,thuyduongnguyen@email.com,60,91
69,Tran Van Khanh,Male,60,Thanh Hoa,khanhtran@email.com,65,8
70,Pham Thi Thu Hang,Female,35,Ho Chi Minh City,hangpham@email.com,70,79
71,Nguyen Van Phuc,Male,40,Hai Phong,phucnguyen@email.com,75,28
72,Le Thi Thu Trang,Female,23,Da Nang,trangle@email.com,80,74
73,Nguyen Van Hieu,Male,50,Can Tho,hieuvo@email.com,85,15
74,Tran Van Anh,Female,56,Ho Chi Minh City,anhtran@email.com,90,79
75,Pham Thi Lan,Female,37,Hai Phong,lanpham@email.com,95,45
76,Nguyen Van Cuong,Male,65,Bac Ninh,cuongnguyen@email.com,25,24
77,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,30,35
78,Tran Van Nam,Male,58,Hai Duong,namtran@email.com,35,67
79,Nguyen Thi Huong,Female,27,Thanh Hoa,huongnguyen@email.com,40,91
80,Tran Van Huy,Male,61,Ho Chi Minh City,huynguyen@email.com,45,8
81,Le Thi Thuy Trang,Female,32,Hai Phong,trangle@email.com,50,72
82,Vo Minh Quan,Male,69,Da Nang,minhquanvo@email.com,55,3
83,Nguyen Thi Thanh Van,Female,33,Can Tho,vanthanhnguyen@email.com,60,98
84,Tran Van Binh,Male,49,Ho Chi Minh City,binhtran@email.com,65,23
85,Le Thi Mai Anh,Female,26,Hai Phong,anhle@email.com,70,45
86,Nguyen Van Huy,Male,64,Ha Noi,huynguyen@email.com,75,77
87,Tran Thi Ngoc Mai,Female,39,Quang Nam,ngocmaitran@email.com,80,2
88,Le Van Khoa,Male,52,Ho Chi Minh City,khoale@email.com,85,89
89,Nguyen Thi Thuy Duong,Female,75,Hai Phong,thuyduongnguyen@email.com,90,47
90,Tran Van Khanh,Male,30,Thanh Hoa,khanhtran@email.com,95,13
91,Pham Thi Thu Hang,Female,38,Ho Chi Minh City,hangpham@email.com,25,83
92,Nguyen Van Phuc,Male,72,Hai Phong,phucnguyen@email.com,30,17
93,Le Thi Thu Trang,Female,57,Da Nang,trangle@email.com,35,92
94,Nguyen Van Hieu,Male,41,Can Tho,hieuvo@email.com,40,59
95,Tran Van Anh,Female,48,Ho Chi Minh City,anhtran@email.com,45,21
96,Pham Thi Lan,Female,63,Hai Phong,lanpham@email.com,50,66
97,Nguyen Van Cuong,Male,19,Bac Ninh,cuongnguyen@email.com,55,24
98,Le Thi Thanh Nga,Female,36,Quang Nam,ngathanh@email.com,60,91
99,Tran Van Nam,Male,54,Hai Duong,namtran@email.com,65,8
100,Nguyen Thi Huong,Female,29,Thanh Hoa,huongnguyen@email.com,70,79
101,Tran Van Huy,Male,53,Ho Chi Minh City,huynguyen@email.com,75,28
102,Le Thi Thu Trang,Female,37,Hai Phong,trangle@email.com,80,74
103,Nguyen Van Hieu,Male,22,Da Nang,hieuvo@email.com,85,15
104,Tran Van Anh,Female,57,Can Tho,anhtran@email.com,90,79
105,Pham Thi Lan,Female,23,Ho Chi Minh City,lanpham@email.com,95,45
106,Nguyen Van Cuong,Male,46,Hai Phong,cuongnguyen@email.com,25,24
107,Le Thi Thanh Nga,Female,61,Thanh Hoa,ngathanh@email.com,30,35
108,Tran Van Nam,Male,28,Quang Nam,namtran@email.com,35,67
109,Nguyen Thi Huong,Female,55,Ho Chi Minh City,huongnguyen@email.com,40,91
110,Tran Van Huy,Male,24,Hai Phong,huynguyen@email.com,45,8
111,Le Thi Thuy Trang,Female,70,Bac Ninh,trangle@email.com,50,72
112,Vo Minh Quan,Male,31,Da Nang,minhquanvo@email.com,55,3
113,Nguyen Thi Thanh Van,Female,67,Can Tho,vanthanhnguyen@email.com,60,98
114,Tran Van Binh,Male,36,Ho Chi Minh City,binhtran@email.com,65,23
115,Le Thi Mai Anh,Female,52,Hai Phong,anhle@email.com,70,45
116,Nguyen Van Huy,Male,29,Ha Noi,huynguyen@email.com,75,77
117,Tran Thi Ngoc Mai,Female,68,Quang Nam,ngocmaitran@email.com,80,2
118,Le Van Khoa,Male,38,Ho Chi Minh City,khoale@email.com,85,89
119,Nguyen Thi Thuy Duong,Female,41,Hai Phong,thuyduongnguyen@email.com,90,47
120,Tran Van Khanh,Male,74,Thanh Hoa,khanhtran@email.com,95,13
121,Pham Thi Thu Hang,Female,33,Ho Chi Minh City,hangpham@email.com,25,83
122,Nguyen Van Phuc,Male,59,Hai Phong,phucnguyen@email.com,30,17
123,Le Thi Thu Trang,Female,39,Da Nang,trangle@email.com,35,92
124,Nguyen Van Hieu,Male,62,Can Tho,hieuvo@email.com,40,59
125,Tran Van Anh,Female,27,Ho Chi Minh City,anhtran@email.com,45,21
126,Pham Thi Lan,Female,73,Hai Phong,lanpham@email.com,50,66
127,Nguyen Van Cuong,Male,48,Bac Ninh,cuongnguyen@email.com,55,24
128,Le Thi Thanh Nga,Female,35,Quang Nam,ngathanh@email.com,60,91
129,Tran Van Nam,Male,25,Hai Duong,namtran@email.com,65,8
130,Nguyen Thi Huong,Female,58,Thanh Hoa,huongnguyen@email.com,70,79
131,Tran Van Huy,Male,32,Ho Chi Minh City,huynguyen@email.com,75,28
132,Le Thi Thuy Trang,Female,45,Hai Phong,trangle@email.com,80,74
133,Vo Minh Quan,Male,40,Da Nang,minhquanvo@email.com,85,15
134,Nguyen Thi Thanh Van,Female,64,Can Tho,vanthanhnguyen@email.com,90,79
135,Tran Van Binh,Male,33,Ho Chi Minh City,binhtran@email.com,95,45
136,Le Thi Mai Anh,Female,54,Hai Phong,anhle@email.com,70,45
137,Nguyen Van Huy,Male,21,Ha Noi,huynguyen@email.com,75,77
138,Tran Thi Ngoc Mai,Female,44,Quang Nam,ngocmaitran@email.com,80,2
139,Le Van Khoa,Male,69,Ho Chi Minh City,khoale@email.com,85,89
140,Nguyen Thi Thuy Duong,Female,49,Hai Phong,thuyduongnguyen@email.com,90,47
141,Tran Van Khanh,Male,23,Thanh Hoa,khanhtran@email.com,95,13
142,Pham Thi Thu Hang,Female,39,Ho Chi Minh City,hangpham@email.com,25,83
143,Nguyen Van Phuc,Male,47,Hai Phong,phucnguyen@email.com,30,17
144,Le Thi Thu Trang,Female,61,Da Nang,trangle@email.com,35,92
145,Nguyen Van Hieu,Male,36,Can Tho,hieuvo@email.com,40,59
146,Tran Van Anh,Female,58,Ho Chi Minh City,anhtran@email.com,45,21
147,Pham Thi Lan,Female,24,Hai Phong,lanpham@email.com,50,66
148,Nguyen Van Cuong,Male,76,Bac Ninh,cuongnguyen@email.com,55,24
149,Le Thi Thanh Nga,Female,31,Quang Nam,ngathanh@email.com,60,91
150,Tran Van Nam,Male,56,Hai Duong,namtran@email.com,65,8
151,Nguyen Thi Huong,Female,29,Thanh Hoa,huongnguyen@email.com,70,79
152,Tran Van Huy,Male,44,Ho Chi Minh City,huynguyen@email.com,75,28
153,Le Thi Thuy Trang,Female,57,Hai Phong,trangle@email.com,80,74
154,Vo Minh Quan,Male,30,Da Nang,minhquanvo@email.com,85,15
155,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
156,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
157,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
158,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
159,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
160,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
161,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
162,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
163,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
164,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
165,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
166,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
167,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
168,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
169,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
170,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
171,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
172,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
173,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
174,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
175,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
176,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
177,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
178,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
179,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
180,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
181,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
182,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
183,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
184,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
185,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
186,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
187,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
188,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
189,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
190,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
191,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
192,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
193,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
194,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
195,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
196,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
197,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
198,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
199,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
200,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
201,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
202,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
203,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
204,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
205,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
206,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
207,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
208,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
209,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
210,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
211,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
212,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
213,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
214,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
215,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
216,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
217,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
218,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
219,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
220,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
221,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
222,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
223,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
224,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
225,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
226,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
227,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
228,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
229,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
230,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
231,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
232,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
233,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
234,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
235,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
236,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
237,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
238,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
239,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
240,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
241,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
242,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
243,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
244,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
245,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
246,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
247,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
248,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
249,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
250,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
251,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
252,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
253,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
254,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
255,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
256,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
257,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
258,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
259,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
260,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
261,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
262,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
263,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
264,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
265,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
266,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
267,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
268,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
269,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
270,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
271,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
272,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
273,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
274,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
275,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
276,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
277,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
278,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
279,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
280,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
281,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
282,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
283,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
284,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
285,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
286,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
287,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
288,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
289,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
290,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
291,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
292,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
293,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
294,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
295,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
296,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
297,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
298,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
299,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
300,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
301,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
302,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
303,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
304,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
305,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
306,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
307,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
308,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
309,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
310,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
311,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
312,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
313,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
314,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
315,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
316,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
317,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
318,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
319,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
320,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
321,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
322,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
323,Nguyen Thi Thanh Van,Female,39,Can Tho,vanthanhnguyen@email.com,90,79
324,Tran Van Binh,Male,61,Ho Chi Minh City,binhtran@email.com,95,45
325,Le Thi Mai Anh,Female,32,Hai Phong,anhle@email.com,70,45
326,Nguyen Van Huy,Male,68,Ha Noi,huynguyen@email.com,75,77
327,Tran Thi Ngoc Mai,Female,19,Quang Nam,ngocmaitran@email.com,80,2
328,Le Van Khoa,Male,51,Ho Chi Minh City,khoale@email.com,85,89
329,Nguyen Thi Thuy Duong,Female,35,Hai Phong,thuyduongnguyen@email.com,90,47
330,Tran Van Khanh,Male,27,Thanh Hoa,khanhtran@email.com,95,13
331,Pham Thi Thu Hang,Female,37,Ho Chi Minh City,hangpham@email.com,25,83
332,Nguyen Van Phuc,Male,60,Hai Phong,phucnguyen@email.com,30,17
333,Le Thi Thu Trang,Female,52,Da Nang,trangle@email.com,35,92
334,Nguyen Van Hieu,Male,23,Can Tho,hieuvo@email.com,40,59
335,Tran Van Anh,Female,59,Ho Chi Minh City,anhtran@email.com,45,21
336,Pham Thi Lan,Female,21,Hai Phong,lanpham@email.com,50,66
337,Nguyen Van Cuong,Male,63,Bac Ninh,cuongnguyen@email.com,55,24
338,Le Thi Thanh Nga,Female,43,Quang Nam,ngathanh@email.com,60,91
339,Tran Van Nam,Male,18,Hai Duong,namtran@email.com,65,8
340,Nguyen Thi Huong,Female,53,Thanh Hoa,huongnguyen@email.com,70,79
341,Tran Van Huy,Male,40,Ho Chi Minh City,huynguyen@email.com,75,28
342,Le Thi Thuy Trang,Female,61,Hai Phong,trangle@email.com,80,74
343,Vo Minh Quan,Male,32,Da Nang,minhquanvo@email.com,85,15
